Country,State,Year,Month,Calendar Day,City,Quality Of Air,"Index Value Of Air (UOM:Number), Scaling Factor:1"
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Korba,Satisfactory,63
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Raigarh,Satisfactory,75
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Raipur,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Amona,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Assanora,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bicholim,Satisfactory,76
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Codli,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Cuncolim,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Honda,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kundaim,Satisfactory,88
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mapusa,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Margao,Satisfactory,79
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Marmagao,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Panaji,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ponda,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sanguem,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tilamol,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tuem,Satisfactory,70
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Usgao-Pale,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Vasco,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jamnagar,Moderate,108
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rajkot,Moderate,127
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Surat,Moderate,107
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Vadodara,Moderate,123
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Baddi,Moderate,146
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Damtal,Moderate,160
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dharamshala,Good,37
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kala Amb,Satisfactory,53
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Manali,Good,46
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nalagarh,Moderate,119
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Parwanoo,Good,45
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Poanta Sahib,Moderate,102
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Shimla,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sunder Nagar,Good,47
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Una,Satisfactory,64
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Vashisht,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jammu,Moderate,187.80035712941443662720
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Pulwama,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Barajamda,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dhanbad,Poor,240
India,Jharkhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jamshedpur,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jharia,VeryPoor,319
India,Jharkhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ranchi,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Saraikela,,
India,Karnataka,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Belgaum,Moderate,155
India,Karnataka,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Chitradurga,Good,31
India,Karnataka,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mandya,Good,37
India,Karnataka,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tumkuru,,
India,Kerala,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Alappuzha,,
India,Kerala,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kottayam,,
India,Kerala,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mallappuram,,
India,Kerala,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Palakkad,,
India,Kerala,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Pathanamthitta,,
India,Kerala,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Wayanad,,
India,Ladakh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jammu,Moderate,4.19964287058556337280
India,Ladakh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Pulwama,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Amlai,Satisfactory,57
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Chindwara,Satisfactory,86
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nagda,Satisfactory,55
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Akola,Satisfactory,68
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ambernath,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Amravati,Good,46
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Badlapur,Satisfactory,60
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bhiwandi,Satisfactory,67
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jalgaon,Satisfactory,60
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jalna,Satisfactory,100
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kolhapur,Moderate,121
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Latur,Satisfactory,76
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Pimpri-Chinchwad,Moderate,145
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sangli,Moderate,101
India,Maharashtra,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ulhas Nagar,Satisfactory,68
India,Manipur,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Imphal,Poor,293
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Byrnihat,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dawki,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Khlihriat,Satisfactory,53
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nongstoin,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tura,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Umaim,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Champhai,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kolasib,,
India,Nagaland,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dimapur,,
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Angul,Satisfactory,75
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Balasore,,
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Berhampur,Satisfactory,64
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bhubaneshwar,Moderate,108
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Cuttack,Moderate,116
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jharsuguda,Moderate,107
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kalinga Nagar,,
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Konark,,
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Paradeep,Poor,203
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Puri,Satisfactory,87
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rayagada,,
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rourkela,,
India,Odisha,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sambalpur,Moderate,153
India,Puducherry,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Karaikal,Satisfactory,51
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Aspal Khurd (Tapa),Moderate,104
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bara Pind (Goraya),,
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Changal (Sangrur),Moderate,105
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dera Bassi,,
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Fatehpur (Samana),Moderate,103
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jaito Sarja (Batala),,
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kharaori (Sirhind),,
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mureedke (Batala),,
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Naudhrani (Malerkotla),Moderate,113
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Peer Mohammad,,
India,Punjab,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rakhra (Patiala),Moderate,106
India,Rajasthan,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bharatpur,VeryPoor,334
India,Rajasthan,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Chittorgargh,Moderate,197
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Chungthang,,
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Gangtok,Satisfactory,51
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mangan,Good,35
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Namchi,Good,35
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Pelling,Good,15
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rangpo,Good,35
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ravangla,,
India,Sikkim,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Singtam,Good,35
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Cuddalore,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Madurai,Satisfactory,52
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mettur,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Salem,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Trichy,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Karimnagar,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Khammam,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kothur,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nalgonda,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Nizamabad,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Patencheru,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ramagundum,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sangareddy,,
India,Telangana,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Warangal,,
India,Tripura,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Agartala,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Anpara,Moderate,184
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bareily,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Firozabad,Poor,250
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Gajroula,Poor,296
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Gorakhpur,Poor,201
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jhansi,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Khurja,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Mathura,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Raibareli,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Saharanpur,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Unnao,Moderate,102
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dehradun,VeryPoor,344
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Haldwani,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kashipur,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rishikesh,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rudrapur,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Amtala,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Baharampur,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Balurghat,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bankura,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Barasat,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bardhaman,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Barrckpore,VeryPoor,344
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Baruipur,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Bolpur,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Chinsura,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Coochbihar,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Dankuni,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Darjeeling,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ghatal,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Jalpaiguri,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kalyani,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Kharagpur,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Krishnanagar,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Malda,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Medinipur,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Purulia,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Raigunj,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rampurhat,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Ranaghat,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Raniganj,Moderate,121
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Rishra,Satisfactory,76
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Sankrail,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Suri,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tamluk,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Tribeni,Satisfactory,75
India,West Bengal,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-31,Uluberia,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Anatapur,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Chittor,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Eluru,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Guntur,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Kadapa,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Kakinada,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Kurnool,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Nellore,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Ongole,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Srikakulam,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Vizianagaram,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Itanagar,Moderate,101
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Bongaigaon,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Daranga,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Dibrugarh,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Golaghat,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Magherita,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Nagaon,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Nalbari,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,North Lakhimpur,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Silcher,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Sivasagar,,
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Tezpur,Satisfactory,66
India,Assam,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Tinsukia,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Bilaspur,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Durg-Bhillainagar,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Korba,Good,48
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Raigarh,Satisfactory,74
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Raipur,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Amona,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Assanora,Satisfactory,81
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Bicholim,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Codli,Satisfactory,74
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Cuncolim,Satisfactory,96
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Honda,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Kundaim,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Mapusa,Satisfactory,76
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Margao,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Marmagao,Moderate,130
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Panaji,Moderate,151
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Ponda,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Sanguem,Satisfactory,79
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Tilamol,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Tuem,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Usgao-Pale,,
India,Goa,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Vasco,Satisfactory,98
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Jamnagar,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Rajkot,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Surat,Satisfactory,94
India,Gujarat,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Vadodara,Moderate,122
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Baddi,Moderate,153
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Damtal,Satisfactory,92
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Dharamshala,Satisfactory,59
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Kala Amb,Satisfactory,97
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Manali,Good,30
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Nalagarh,Moderate,119
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Parwanoo,Good,50
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Poanta Sahib,Satisfactory,97
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Shimla,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Sunder Nagar,Good,48
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Una,Good,49
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020","December, 2020",2020-12-30,Vashisht,,
